prompt,response
What happens if a device doesn't have a default gateway configured?,It can only communicate with other devices within its local subnet.
What is the maximum Transmission Unit (MTU) for Ethernet in IPv4?,1500 bytes.
What is IP fragmentation?,The process of breaking a large IP packet into smaller pieces (fragments) when it needs to traverse a network link with a smaller MTU.
What is the 'Don't Fragment' (DF) bit in the IPv4 header?,"A flag that, if set, prevents fragmentation. If a packet with the DF bit set encounters a smaller MTU, it will be dropped instead of fragmented."
What is the Time To Live (TTL) field in the IPv4 header?,"A field that indicates the maximum number of hops a packet can traverse before being discarded, preventing infinite loops."
What protocol number is used for ICMP in the IPv4 header?,Protocol number 1.
What protocol number is used for TCP in the IPv4 header?,Protocol number 6.
What protocol number is used for UDP in the IPv4 header?,Protocol number 17.
What is the Checksum field in the IPv4 header used for?,To detect errors in the IP header itself.
What is the Source IP address field in the IPv4 header?,The IPv4 address of the sender of the packet.
What is the Destination IP address field in the IPv4 header?,The IPv4 address of the intended recipient of the packet.
What is ARP (Address Resolution Protocol)?,A protocol used to resolve an IP address to a MAC address (Layer 2 physical address) within the same local network.
Why is ARP necessary for IPv4?,"Because IP addresses operate at Layer 3, but data frames at Layer 2 need MAC addresses for actual delivery on a local segment."
What are the two main methods for assigning IPv4 addresses to devices?,Static IP assignment and Dynamic IP assignment (via DHCP).
What is DHCP (Dynamic Host Configuration Protocol)?,A network protocol that dynamically assigns IP addresses and other network configuration parameters to devices connected to a network.
What is the main advantage of DHCP?,"Simplifies network administration, reduces configuration errors, and allows for efficient reuse of IP addresses."
What is a broadcast address in IPv4?,An address used to send a packet to all hosts on a specific network segment.
What is a multicast address in IPv4?,An address used to send a packet to a group of selected hosts simultaneously.
What is the IPv4 multicast address range (Class D)?,224.0.0.0 to 239.255.255.255.
What is the difference between direct and indirect delivery in IPv4 routing?,"Direct delivery means the destination host is on the same local network. Indirect delivery means the destination is on a remote network, requiring a router."
What is a routing table?,"A table stored on a router or host that contains information about network destinations and how to reach them (next-hop, interface)."
What is the `ping` command used for in IPv4?,To test IP connectivity to a remote host and measure round-trip time.
What is the `traceroute` (or `tracert`) command used for in IPv4?,"To trace the path that an IP packet takes to reach a destination, identifying routers along the way."
How does `traceroute` work using TTL?,It sends packets with increasing TTL values and uses ICMP Time Exceeded messages to identify each hop.
What is the main reason for the transition from IPv4 to IPv6?,IPv4 address exhaustion (running out of unique public IP addresses).
Can IPv4 and IPv6 coexist on the same network?,"Yes, through techniques like dual-stack, tunneling, and translation."
What is `subnetting` in IPv4?,"The process of dividing a larger network into smaller, more manageable subnetworks."
What are the benefits of subnetting?,"Reduces network broadcast traffic, improves security, and optimizes IP address usage."
What is a supernet (or route summarization)?,"Combining multiple smaller networks into a single, larger network advertisement to reduce routing table size."
What is an IP packet?,"The basic unit of data transferred over an IP network, consisting of an IP header and a payload (data)."
What is the minimum size of an IPv4 header?,20 bytes.
What is the maximum size of an IPv4 header?,60 bytes (due to the Options field).
What is the 'Protocol' field in the IPv4 header for?,"It indicates the next-level protocol that the IP payload belongs to (e.g., TCP, UDP, ICMP)."
What are the 'Flags' and 'Fragment Offset' fields in the IPv4 header used for?,For controlling and identifying IP packet fragmentation.
What does 'stateless' mean in the context of IPv4 routing?,"Each IP packet is treated independently, without maintaining connection-specific state information at the router."
What is a public IPv4 address?,An IPv4 address that is globally unique and routable on the Internet.
What is a dynamic IP address?,An IP address that is temporarily assigned to a device by a DHCP server.
What is a static IP address?,An IP address that is manually configured and permanently assigned to a device.
What does 'IP address conflict' mean?,"When two or more devices on the same network are configured with the same IP address, leading to communication issues."
What is the significance of the `checksum` field in the IPv4 header?,It allows the receiver to check for errors that may have occurred in the header during transmission.
Can an IPv4 address be used to identify a specific application on a host?,"No, an IP address identifies a host. Port numbers (used by TCP/UDP) identify specific applications/services on that host."
What is the concept of a 'network ID' in IPv4?,"The portion of an IP address that identifies the specific network to which a device is connected, determined by the subnet mask."
How does a router use the IPv4 routing table?,It matches the destination IP address of an incoming packet with entries in the routing table to determine the next hop and outgoing interface.
What are some common IP address classes beyond A, B or C or D or all
What is the purpose of the 'Options' field in the IPv4 header?,"To allow for additional features like source routing, record route, or timestamp options (rarely used in modern networks)."
What is a 'host route' in IPv4 routing?,"A specific route to a single IP address (e.g., /32) rather than a network range."
What does IPv6 stand for?,IPv6 stands for Internet Protocol version 6.
What is the primary motivation for IPv6?,To address the exhaustion of IPv4 addresses and provide a larger address space.
How long is an IPv6 address?,An IPv6 address is 128 bits long.
How is an IPv6 address typically represented?,"In hexadecimal digits, grouped into eight 16-bit segments separated by colons (e.g., 2001:0db8:85a3:0000:0000:8a2e:0370:7334)."
What is a common shorthand for IPv6 addresses?,"Leading zeros in each segment can be omitted, and consecutive segments of zeros can be compressed with '::'."
How many segments (hextets) are in an IPv6 address?,Eight segments.
What is the maximum number of times '::' can be used in an IPv6 address?,Only once.
What are the three main types of IPv6 addresses?,"Unicast, Multicast, and Anycast."
What is an IPv6 Unicast address?,An address that identifies a single interface. A packet sent to a unicast address is delivered to that specific interface.
What is an IPv6 Multicast address?,An address that identifies a group of interfaces. A packet sent to a multicast address is delivered to all interfaces in the group.
What is an IPv6 Anycast address?,An address assigned to multiple interfaces (typically on different routers). A packet sent to an anycast address is delivered to the topologically closest interface.
What is a Global Unicast Address (GUA) in IPv6?,"The equivalent of a public IPv4 address, globally routable on the Internet."
What is the typical prefix for IPv6 GUAs?,"Currently, most GUAs begin with `2000::/3`."
What is a Link-Local Address (LLA) in IPv6?,An address used only for communication on the local link (subnet) and is not routable beyond the link.
What is the prefix for IPv6 Link-Local Addresses?,`fe80::/10`.
When is an IPv6 Link-Local Address automatically configured?,Whenever an IPv6-enabled interface becomes active.
What is a Unique Local Address (ULA) in IPv6?,"The IPv6 equivalent of a private IPv4 address, used for local communication within an organization and not routable on the Internet."
What is the prefix for IPv6 Unique Local Addresses?,`fc00::/7` (specifically `fc00::/8` and `fd00::/8`).
What is the IPv6 loopback address?,`::1`.
What is the IPv6 Unspecified address?,"`::` (all zeros), used as a source address when a device doesn't yet have an IP address (e.g., during DAD)."
What is Neighbor Discovery Protocol (NDP) in IPv6?,"A protocol that replaces ARP, ICMP Router Discovery, and ICMP Redirect from IPv4."
What are the key functions of NDP?,"Neighbor Solicitation (NS), Neighbor Advertisement (NA), Router Solicitation (RS), Router Advertisement (RA), Redirect, Duplicate Address Detection (DAD)."
What is Router Solicitation (RS) in IPv6 NDP?,A message sent by a host to discover routers on its link.
What is Router Advertisement (RA) in IPv6 NDP?,"A message sent by a router to advertise its presence, network prefix(es), and other configuration parameters to hosts on the link."
What is Neighbor Solicitation (NS) in IPv6 NDP?,A message sent by a node to determine the link-layer address of a neighbor or to perform Duplicate Address Detection (DAD).
What is Neighbor Advertisement (NA) in IPv6 NDP?,"A message sent by a node in response to an NS message, or unsolicited, to advertise its link-layer address."
What is Duplicate Address Detection (DAD) in IPv6?,A process by which a node verifies that a new unicast address it wants to use is unique on the link.
How does IPv6 handle automatic address configuration for hosts?,Through Stateless Address Autoconfiguration (SLAAC) or DHCPv6.
What is SLAAC?,"Stateless Address Autoconfiguration, where hosts generate their own IPv6 addresses using prefixes from Router Advertisement (RA) messages and their MAC addresses (or a privacy extension)."
What is DHCPv6?,"Dynamic Host Configuration Protocol for IPv6, used to dynamically assign IPv6 addresses and other configuration information to hosts."
What is the difference between Stateless DHCPv6 and Stateful DHCPv6?,Stateless DHCPv6 provides additional configuration info (DNS servers) but no IP addresses. Stateful DHCPv6 assigns IP addresses and other info.
What is the IPv6 header size?,40 bytes (fixed size).
Does the IPv6 header contain a checksum?,"No, the IPv6 header does not contain a checksum."
Why was the checksum removed from the IPv6 header?,"To reduce processing overhead; lower layers (Ethernet, TCP, UDP) already perform checksums."
What is the 'Next Header' field in the IPv6 header?,"It indicates the type of the next header immediately following the IPv6 header (e.g., TCP, UDP, ICMPv6, or an IPv6 Extension Header)."
What is the 'Hop Limit' field in the IPv6 header?,"The IPv6 equivalent of IPv4's TTL (Time To Live), specifying the maximum number of hops a packet can traverse."
What is the 'Flow Label' field in the IPv6 header for?,"To allow routers to identify packets belonging to the same flow for special handling (e.g., QoS)."
What are IPv6 Extension Headers?,"Optional headers that provide additional network layer information (e.g., for fragmentation, routing, security) and are placed between the main IPv6 header and the payload."
Why were Extension Headers introduced in IPv6?,"To keep the base header fixed and simple, while allowing for extensibility and efficient processing."
Does IPv6 support fragmentation by intermediate routers?,"No, only the source host can fragment an IPv6 packet. Intermediate routers will drop packets that exceed the MTU and send an ICMPv6 'Packet Too Big' message."
What is the minimum MTU for IPv6?,1280 bytes.
What is ICMPv6?,"Internet Control Message Protocol for IPv6, providing diagnostic and error reporting functions, and incorporating NDP."
What is the `ping6` command used for?,To test IPv6 connectivity to a remote host.
What is the `traceroute6` (or `tracert -6`) command used for?,To trace the path an IPv6 packet takes to a destination.
What are the main IPv6 transition mechanisms?,"Dual-stack, Tunneling, and Translation."
What is Dual-Stack?,Running both IPv4 and IPv6 protocols simultaneously on network devices and hosts.
What is Tunneling in IPv6 transition?,Encapsulating IPv6 packets inside IPv4 packets (or vice-versa) to traverse IPv4-only (or IPv6-only) networks.
Name common IPv6 tunneling mechanisms.,"6to4, ISATAP, Teredo, GRE tunnels, manually configured tunnels."
What is Translation (NAT64/DNS64) in IPv6 transition?,"Translating between IPv6 and IPv4 addresses and protocols, allowing IPv6-only devices to communicate with IPv4-only devices."
What is EUI-64 in IPv6 addressing?,"Extended Unique Identifier 64-bit, a method to derive the host portion (interface ID) of an IPv6 address from a 48-bit MAC address."
How does EUI-64 work?,Inserts `ff:fe` in the middle of a MAC address and flips the 7th bit (universal/local bit).
What is IPv6 privacy extensions?,"A feature that generates random, temporary interface IDs for host addresses to prevent tracking of devices using stable EUI-64 or fixed addresses."
What is the IPv6 site-local address range (deprecated)?,`fec0::/10` (deprecated and replaced by Unique Local Addresses).
What is the multicast address for all nodes on a link?,`ff02::1`.
What is the multicast address for all routers on a link?,`ff02::2`.
What is the multicast address for solicited-node multicast?,`ff02::1:ffxx:xxxx` (used by NDP for DAD and neighbor resolution).
What is the purpose of the 'Traffic Class' field in the IPv6 header?,"Equivalent to the IPv4 ToS field, used for QoS and Differentiated Services (DiffServ)."
What is the 'Payload Length' field in the IPv6 header?,"Indicates the length of the IPv6 payload, including any extension headers."
What is the maximum Payload Length in IPv6 without a Jumbo Payload option?,"65,535 bytes."
What is the `jumbo payload` option in IPv6?,"An Extension Header that allows for IPv6 packets larger than 65,535 bytes (up to 4 GB)."
What is a 'routing header' in IPv6?,An Extension Header that allows a source host to specify a strict or loose path for a packet to follow.
What is the `destination options` header in IPv6?,An Extension Header carrying optional information that must be examined by the packet's ultimate destination node(s).
What is the `hop-by-hop options` header in IPv6?,An Extension Header carrying optional information that must be examined by every hop along a packet's path.
What is the difference between IPv6 routing and IPv4 routing?,"Conceptually similar, but IPv6 routing uses NDP instead of ARP, and doesn't rely on broadcast for discovery."
What are common IPv6 routing protocols?,"OSPFv3, EIGRP for IPv6, IS-IS, BGP4+."
What is OSPFv3?,The version of OSPF that supports routing for both IPv4 and IPv6.
What is BGP4+?,The version of BGP that supports IPv6 routing and other address families beyond IPv4.
Can IPv6 traffic be carried over an IPv4-only network?,"Yes, using tunneling mechanisms."
Can IPv4 traffic be carried over an IPv6-only network?,"Yes, using tunneling or translation (e.g., NAT64/DNS64)."
What is the significance of the `::` in IPv6 address representation?,It represents one or more consecutive 16-bit blocks of zeros.
What is the typical prefix length for an IPv6 subnet on a LAN?,`/64`.
Why is `/64` the recommended prefix length for IPv6 LANs?,It simplifies autoconfiguration (SLAAC) and is often required for various IPv6 features.
What is the `IPv6 router advertisement` command used for?,"To configure a router to send RA messages, enabling SLAAC for hosts on the link."
What is the purpose of the `managed` flag in an IPv6 RA message?,"When set, it indicates that hosts should use DHCPv6 for address assignment (Stateful DHCPv6)."
What is the purpose of the `other-config` flag in an IPv6 RA message?,"When set, it indicates that hosts should use DHCPv6 for other configuration information (like DNS servers) but can still use SLAAC for IP addresses (Stateless DHCPv6)."
What is the `anycast address` used for in load balancing?,"It allows multiple servers to share the same IP address, and traffic is routed to the closest one, providing a form of load distribution."
How does IPsec work with IPv6?,"IPsec is natively integrated and mandatory for IPv6 compliance, though not always used by default. It is not an add-on like in IPv4."
What is the default administrative distance for directly connected IPv6 networks?,0
What does DMVPN stand for?,DMVPN stands for Dynamic Multipoint VPN.
What is the primary purpose of DMVPN?,"To provide a flexible, scalable, and dynamic VPN solution for connecting multiple remote sites (spokes) to a central site (hub) and directly to each other (spoke-to-spoke)."
What are the three core technologies that DMVPN is built upon?,"NHRP (Next Hop Resolution Protocol), mGRE (Multipoint GRE), and IPsec."
What is the main benefit of DMVPN over traditional IPsec VPNs?,DMVPN allows for dynamic spoke-to-spoke tunnels without needing a full mesh of static VPN configurations.
What is mGRE (Multipoint GRE)?,"An enhancement to GRE that allows a single GRE tunnel interface to support multiple GRE tunnels, eliminating the need for a separate GRE tunnel for each spoke."
What is NHRP (Next Hop Resolution Protocol) in DMVPN?,A client-server protocol used by spokes to dynamically learn the public IP addresses of other spokes (their 'next hops').
What is the role of the DMVPN Hub?,"The hub acts as the NHRP server, maintaining a database of public and private IP addresses for all registered spokes, and initially forwarding spoke-to-spoke traffic."
What is the role of a DMVPN Spoke?,A spoke is a remote site router that registers its public and private IP addresses with the hub and can dynamically establish tunnels to other spokes.
How does a spoke learn the public IP of another spoke?,It queries the NHRP server (the hub) to resolve the private IP of the destination spoke to its public IP.
What is the 'Tunnel Interface' in DMVPN?,"A logical interface (usually a GRE tunnel interface) where DMVPN configuration is applied, including the IPsec profile and NHRP settings."
What IP address is configured on the DMVPN tunnel interface?,"A private IP address, typically from a single subnet that spans all hub and spoke tunnel interfaces."
What is the purpose of IPsec in DMVPN?,"To encrypt and authenticate the GRE tunnels, providing secure communication over the public network."
Does DMVPN use policy-based or route-based IPsec?,"DMVPN typically uses route-based IPsec, specifically a Virtual Tunnel Interface (VTI) or crypto profile applied to the mGRE tunnel interface."
What is the significance of `ip nhrp map` commands on the hub?,"These are not always required on the hub, as spokes register dynamically. They are used on spokes for hub's public IP."
What is the significance of `ip nhrp network-id`?,It logically groups DMVPN routers within the same NHRP domain. It must be unique for each DMVPN network.
What are the three phases of DMVPN deployment?,"Phase 1, Phase 2, and Phase 3."
What are the characteristics of DMVPN Phase 1?,Hub-and-spoke only. All spoke-to-spoke traffic must pass through the hub. Routing protocols run between hub and spokes.
What are the characteristics of DMVPN Phase 2?,Spoke-to-spoke tunnels are dynamically built after an initial connection through the hub. All traffic can bypass the hub directly.
What are the characteristics of DMVPN Phase 3?,"Enhances Phase 2 with per-packet redirection from the hub, allowing the hub to inform spokes of direct paths even if the hub is involved in the initial routing decision."
Which DMVPN phase is generally recommended for production deployments?,"Phase 3, due to its scalability, flexibility, and optimized spoke-to-spoke forwarding."
How does a spoke discover the hub's public IP in DMVPN?,Using the `ip nhrp map <private_hub_ip> <public_hub_ip>` command on the spoke.
How does a spoke dynamically register with the hub?,Using the `ip nhrp map <private_hub_ip> <public_hub_ip> nbma` and `ip nhrp network-id` commands on the spoke.
What is the purpose of `ip nhrp redirect` on the hub (Phase 3)?,"To send an NHRP Redirect message to spokes, informing them that a direct spoke-to-spoke path exists and should be used."
What is the purpose of `ip nhrp shortcut` on the spokes (Phase 3)?,To enable spokes to create direct spoke-to-spoke tunnels based on NHRP Redirect messages from the hub.
What routing protocols can be used over DMVPN?,"EIGRP, OSPF, BGP, and static routing."
What is a common challenge when running OSPF over DMVPN?,OSPF's default behavior for multi-access networks (DR/BDR election) can cause issues. Setting `ip ospf network broadcast` or `point-to-multipoint` is often needed.
What OSPF network type is often used for DMVPN?,"`ip ospf network broadcast` (if hub is DR) or `ip ospf network point-to-multipoint non-broadcast` (for no DR/BDR, more stable)."
What EIGRP command is crucial for DMVPN spokes to propagate routes correctly?,`no ip split-horizon eigrp <ASN>` on the tunnel interface.
Why is `no ip split-horizon` needed for EIGRP on DMVPN spokes?,"Because EIGRP split-horizon prevents a router from advertising a route out the same interface it was learned on, which would block spoke-to-spoke route advertisement."
What is the purpose of `tunnel source` and `tunnel destination` on the mGRE tunnel interface?,`tunnel source` is the router's public IP. `tunnel destination` is NOT used on the hub (for mGRE) but is the hub's public IP on spokes.
How does DMVPN handle NAT?,"It relies on IPsec NAT-Traversal (NAT-T) to encapsulate IPsec traffic in UDP 4500, allowing it to pass through NAT devices."
What ports need to be open on firewalls for DMVPN to function?,"UDP 500 (IKE), UDP 4500 (IPsec NAT-T), and IP protocol 47 (GRE)."
What is the typical BGP peer type between a DMVPN hub and spokes?,"eBGP, even if they are in the same AS, often achieved using `allowas-in` or `local-as` commands."
What is a common issue with `ip nhrp authentication`?,Mismatched authentication keys or types between the hub and spokes.
What is the role of a crypto profile in DMVPN?,"To define the IPsec parameters (transform set, IKEv2 profile, PFS) applied to the mGRE tunnel interface for encryption."
How does a spoke find the hub's NHRP server?,It's explicitly configured using `ip nhrp map nhs <hub_private_ip> <hub_public_ip>` and `ip nhrp network-id`.
What is the maximum number of spokes a DMVPN hub can support?,"Theoretically thousands, practically limited by hub router CPU, memory, and routing table size (e.g., several hundreds to a few thousands)."
How does DMVPN aid in disaster recovery for remote sites?,"By allowing spoke-to-spoke communication, if the hub fails, spokes might still be able to communicate directly if their tunnels are already up."
What is the concept of a 'dual-hub' DMVPN deployment?,Deploying two (or more) redundant hubs to provide high availability and load balancing for DMVPN connectivity.
How do spokes know which hub to register with in a dual-hub setup?,"Often via multiple `ip nhrp map` entries pointing to both hubs, or by using routing metrics/priorities."
What are common troubleshooting commands for DMVPN?,"`show dmvpn`, `show ip nhrp`, `show crypto ikev2 sa`, `show crypto ipsec sa`, `debug ip nhrp`."
What does `show dmvpn` provide?,"A summary of the DMVPN tunnel status, including the local tunnel interface, hub/spoke roles, and peer information."
What does `show ip nhrp` display?,"The NHRP cache entries, showing the mapping between private and public IP addresses for peers."
What indicates a spoke-to-spoke tunnel is active in `show ip nhrp`?,"An entry showing a direct mapping between two spokes, usually with an 'up' status."
What is a common cause for spoke-to-spoke tunnels not forming in Phase 2/3?,"Mismatched routing protocol configurations, ACLs blocking GRE/IPsec, or NHRP resolution failures."
How does DMVPN handle 'Next-Hop-Self' for routing protocols?,"For spoke-to-spoke traffic, NHRP resolves the next hop directly, so `next-hop-self` is typically not needed on the tunnel interface for iBGP/EIGRP."
What is a `crypto map` equivalent in modern DMVPN configurations?,A `crypto ipsec profile` applied to the tunnel interface.
Does DMVPN require static configuration for every spoke-to-spoke connection?,"No, that's its main advantage; NHRP dynamically discovers and establishes spoke-to-spoke tunnels."
What is the difference between `tunnel mode gre ip` and `tunnel mode gre multipoint`?,`gre ip` is for point-to-point GRE; `gre multipoint` enables mGRE for DMVPN.
Can DMVPN support IPv6 traffic?,"Yes, using IPv6-enabled mGRE tunnels and applying IPsec profiles that support IPv6."
What is an 'NHRP registration' in DMVPN?,The process where a spoke sends its private and public IP addresses to the hub (NHRP server) to be added to the NHRP database.
What is a 'NHRP resolution' in DMVPN?,The process where a spoke queries the NHRP server to get the public IP of another spoke based on its private IP.
What is the role of a routing protocol in DMVPN?,"To exchange reachability information (routes) for the networks behind the hub and spokes, enabling traffic forwarding."
What happens if the NHRP server (hub) goes down in a DMVPN Phase 2/3 network?,"Existing spoke-to-spoke tunnels will remain up, but new spoke-to-spoke tunnels cannot be initiated, and new spokes cannot register."
What is the purpose of `ip nhrp authentication`?,"To authenticate NHRP messages exchanged between hub and spokes, preventing unauthorized routers from participating."
What is a common issue if `ip nhrp authentication` is misconfigured?,"Spokes will fail to register with the hub, and no tunnels will form."
How does `tunnel protection ipsec profile <profile_name>` work on a DMVPN tunnel interface?,It applies the specified IPsec profile to secure all traffic passing through the mGRE tunnel.
What is the effect of `tunnel key` on the mGRE tunnel?,"It's an optional pre-shared key for GRE encapsulation, adding a layer of protection but not encryption like IPsec."
What is the purpose of a 'summarized route' advertised from the hub in DMVPN?,To reduce the size of routing tables on spokes by providing a single summary route for the hub's internal networks.
Can DMVPN coexist with traditional static IPsec VPNs on the same router?,"Yes, but they must use different tunnel interfaces and potentially different crypto policies."
What is the administrative distance for routes learned over DMVPN (if using routing protocol)?,"It depends on the routing protocol (e.g., EIGRP is 90, OSPF is 110, iBGP is 200)."
What is the significance of the `nbma` keyword in NHRP mappings?,It indicates that the peer is a non-broadcast multi-access network endpoint and specifies its public (NBMA) address.
How do you check the IKEv2 SA status for a DMVPN tunnel?,`show crypto ikev2 sa` (or `show crypto isakmp sa` for IKEv1).
How do you check the IPsec SA status for a DMVPN tunnel?,`show crypto ipsec sa`.
What is the significance of the `tunnel mtu` command on a DMVPN tunnel interface?,"It configures the MTU for the tunnel interface, which should account for GRE and IPsec overhead to avoid fragmentation."
What is the recommended MTU for DMVPN tunnels to avoid fragmentation?,"Around 1400 bytes, depending on specific IPsec/GRE overhead."
Can DMVPN be built over IPv6 transport?,"Yes, if the underlying network supports IPv6. The tunnel source/destination would be IPv6 addresses."
What is the primary benefit of DMVPN Phase 3 over Phase 2 regarding spoke-to-spoke traffic?,"Phase 3 allows the hub to redirect spokes directly, even if routing updates were not yet fully propagated for the direct path."
What is a common use case for DMVPN in enterprise networks?,"Connecting branch offices to a central data center, and allowing branches to communicate directly with each other without backhauling traffic."
What is the `ip nhrp redirect` command's behavior?,It instructs the hub to send NHRP Redirect messages to spokes when it acts as the next hop for spoke-to-spoke traffic.
What is the `ip nhrp shortcut` command's behavior?,It instructs spokes to use NHRP Redirect messages to initiate direct spoke-to-spoke tunnels.
Can DMVPN support spokes with dynamic public IP addresses?,"Yes, the spokes register their current public IP with the hub using NHRP, which is a key feature."
What happens if a DMVPN spoke's public IP changes?,"It re-registers with the hub, updating its entry in the NHRP database."
How does DMVPN simplify router configuration for new spokes?,New spokes only need to know the hub's public IP and general DMVPN configuration; they don't need configs for every other spoke.
What is the role of a DMVPN overlay network?,"It's the logical, secure network built on top of the underlying physical (public) network using mGRE and IPsec."
What is a common issue with DMVPN if the clock is not synchronized?,"Issues with IPsec phase 1 negotiation, particularly with certificates."
What is the purpose of a 'crypto ACL' in legacy policy-based VPNs versus DMVPN?,Crypto ACLs define specific traffic flows in legacy VPNs. DMVPN uses a single mGRE tunnel where all traffic routed to it is encrypted.
What is the impact of a large number of spokes on the hub's performance?,"Increased CPU load for IPsec processing, increased memory for NHRP database and routing table, and potentially increased bandwidth usage."
What is the key difference in forwarding behavior between DMVPN Phase 1 and Phase 2/3 for spoke-to-spoke traffic?,Phase 1 forces traffic through the hub. Phase 2/3 allows direct spoke-to-spoke tunnels.
What does SD-WAN stand for?,SD-WAN stands for Software-Defined Wide Area Network.
What is the primary purpose of SD-WAN?,To simplify the management and operation of a Wide Area Network by decoupling the networking hardware from its control mechanism.
What are the main benefits of SD-WAN over traditional WANs (e.g.  MPLS)?,"SD-WAN offers enhanced agility, lower costs, and improved application performance by intelligently utilizing multiple transport links, unlike traditional WANs that often rely solely on costly MPLS circuits."
What are the key principles of SD-WAN?,"Centralized control and management, abstraction of underlying transport, application-aware routing, and automated provisioning."
What is an 'underlay network' in SD-WAN?,"The physical or logical transport infrastructure (e.g., MPLS, broadband internet, LTE) that provides connectivity between sites."
What is an 'overlay network' in SD-WAN?,"The virtual network created by the SD-WAN solution on top of the underlay, providing secure and optimized tunnels for traffic."
What are the main components of an SD-WAN architecture?,"SD-WAN Edge devices (CPE), a Centralized Controller (or Control Plane), an Orchestrator (or Management Plane), and an Analytics/Visibility platform."
What is the role of the SD-WAN Edge device (CPE)?,It's the hardware or virtual appliance at branch offices and data centers that establishes the SD-WAN tunnels and enforces policies.
What is the role of the Centralized Controller in SD-WAN?,"It's the 'brain' of the SD-WAN, responsible for establishing and maintaining the control plane, distributing policies, and learning network topology."
What is the role of the Orchestrator in SD-WAN?,"It's the 'management plane,' providing a centralized GUI for configuration, monitoring, reporting, and zero-touch provisioning."
What is 'Zero-Touch Provisioning' (ZTP) in SD-WAN?,A feature that allows new SD-WAN Edge devices to automatically connect to the controller and download their configurations without manual intervention.
How does SD-WAN achieve 'application-aware routing'?,"By identifying applications (e.g., using Deep Packet Inspection - DPI) and steering their traffic over the best available WAN link based on predefined policies and real-time link performance."
What metrics does SD-WAN use for intelligent path selection?,"Real-time metrics like latency, jitter, packet loss, and available bandwidth."
How does SD-WAN ensure application performance and reliability?,"Through intelligent path selection, link aggregation, forward error correction (FEC), and packet duplication."
What is 'Forward Error Correction' (FEC) in SD-WAN?,"A technique that sends redundant data packets to reconstruct lost packets at the destination, improving performance over unreliable links."
What is 'packet duplication' in SD-WAN?,"Sending duplicate copies of critical application packets (e.g., VoIP) over multiple WAN links to ensure at least one copy arrives, reducing perceived loss."
How does SD-WAN handle Quality of Service (QoS)?,"It applies granular QoS policies based on applications, user groups, or traffic types to prioritize critical business applications over less critical ones."
What is the primary security mechanism in SD-WAN?,IPsec VPN tunnels are typically used to encrypt traffic between SD-WAN Edge devices over any underlying transport.
Can SD-WAN integrate with security services?,"Yes, many SD-WAN solutions offer integrated security features (e.g., NGFW, IPS, URL filtering) or seamlessly integrate with cloud-based security services (e.g., SASE)."
What is SASE (Secure Access Service Edge)?,"A cloud-native architecture that converges networking (SD-WAN) and network security functions into a single, integrated cloud service."
How does SD-WAN optimize cloud connectivity?,"By allowing direct, optimized, and secure paths to cloud applications (e.g., SaaS, IaaS) from branch offices, avoiding backhauling traffic to a central data center."
What is 'Direct Internet Access' (DIA) in SD-WAN?,"Allowing branch offices to break out directly to the Internet for cloud application access, rather than routing all traffic through a central data center."
What are the common deployment models for SD-WAN?,"On-premises, cloud-delivered (as a service), and hybrid."
What is a 'hybrid WAN' in the context of SD-WAN?,"A network that combines traditional WAN technologies (like MPLS) with internet broadband links, often managed by an SD-WAN solution."
What is the main difference between Cisco SD-WAN (Viptela) and other approaches like Velocloud or Arista Agni?,"Architectural design (e.g., overlay types, control plane distribution), management interface, and specific feature sets, though core SD-WAN principles are similar."
How does Cisco Viptela differentiate its architecture?,"It uses a distinct vManage (orchestrator), vSmart (controller), vBond (orchestration), and vEdge/cEdge (data plane) component separation."
What is the role of vManage in Cisco Viptela SD-WAN?,"The centralized management system for configuration, monitoring, and troubleshooting."
What is the role of vSmart in Cisco Viptela SD-WAN?,The centralized controller that establishes the control plane for the overlay network and distributes routing and security policies.
What is the role of vBond in Cisco Viptela SD-WAN?,The orchestrator that authenticates and onboards SD-WAN devices and helps them discover the vSmart controllers.
What are 'vEdge' and 'cEdge' in Cisco SD-WAN?,"vEdge are the purpose-built Viptela appliances, while cEdge refers to Cisco IOS XE routers (like ISR/ASR) running the SD-WAN software."
What is the concept of 'Cloud Gateways' in SD-WAN?,Points of presence (PoPs) in major cloud providers or carrier networks that allow optimized and secure SD-WAN connectivity to cloud resources.
How does SD-WAN facilitate branch modernization?,"By simplifying network design, reducing hardware footprint, and enabling agility for new services and applications."
What is `multi-cloud` connectivity in SD-WAN?,"The ability of an SD-WAN solution to provide optimized and consistent connectivity across multiple public cloud providers (e.g., AWS, Azure, Google Cloud)."
Does SD-WAN replace MPLS entirely?,"Not necessarily. Many organizations use a hybrid approach, keeping MPLS for critical applications and leveraging SD-WAN for cost-effective broadband links and cloud access."
What are common troubleshooting steps for SD-WAN?,"Check physical connectivity, verify tunnel status, examine application-aware routing policies, review link performance metrics, and consult logs on the controller/edge devices."
What is the role of `BFD` (Bidirectional Forwarding Detection) in SD-WAN?,"Used to rapidly detect link failures between SD-WAN Edge devices, enabling quick failover to alternative paths."
How does SD-WAN enhance visibility?,"Through centralized dashboards and analytics platforms that provide real-time performance metrics, application usage, and network health."
What is a 'tenant' in multi-tenant SD-WAN deployments?,"A logical segregation of network resources and policies, allowing multiple independent customers or departments to share the same SD-WAN infrastructure."
